north_america,eat_out_freq,age,n_people,price,food_type,noise_level,good_server,comments,restaurant_name,target
Yes,3.0,29,10.0,120.0,Italian,medium,Yes,Ambience,,dislike
Yes,2.0,23,3.0,20.0,Canadian/American,no music,No,food tastes bad,,dislike
Yes,2.0,21,20.0,15.0,Chinese,medium,Yes,bad food,,dislike
No,2.0,24,14.0,18.0,Other,medium,No,Overall vibe on the restaurant,,dislike
Yes,5.0,23,30.0,20.0,Chinese,medium,Yes,A bad day,,dislike
Yes,2.0,22,40.0,16.0,Chinese,medium,No,food taste,,dislike
Yes,2.0,23,20.0,10.0,Canadian/American,high,No,no,McDonald's,dislike
Yes,4.0,20,3.0,20.0,Indian,low,No,,,dislike
Yes,1.0,21,20.0,35.0,Canadian/American,medium,Yes,Food was terrible quality ,,dislike
No,2.0,20,6.0,90.0,Canadian/American,low,No,I got food poisoning afterwards.,Tony's Fish & Oyster Cafe,dislike
No,3.0,23,10.0,20.0,Chinese,medium,No,,,dislike
Yes,2.0,21,30.0,30.0,Chinese,medium,Yes,food that didn't come,Happy Lamb,dislike
No,5.0,20,20.0,40.0,Indian,medium,No,Slow service took forever ,,dislike
Yes,1.0,29,20.0,30.0,Canadian/American,low,Yes,Could not accommodate my allergies. ,,dislike
Yes,2.0,23,20.0,45.0,Italian,crazy loud,No,"Lack of sleep, poor company",,dislike
Yes,2.0,19,50.0,13.0,Mexican,medium,Yes,,,dislike
No,0.5,21,8.0,20.0,Other,low,Yes,,,dislike
Yes,3.0,24,10.0,10.0,Other,medium,No,"Missing items, lower quality than usual",Nori,dislike
Yes,2.0,22,40.0,60.0,Other,crazy loud,No,Expensive,Shabusen Yakiniku House,dislike
Yes,1.0,20,20.0,20.0,Chinese,medium,Yes,i dont like chinese food,,dislike
Yes,2.0,25,20.0,35.0,Chinese,medium,No,,,dislike
Yes,1.0,21,50.0,20.0,Chinese,low,No,,,dislike
Yes,2.0,19,20.0,20.0,Indian,medium,No,How empty the restaurant was,,dislike
Yes,0.0,21,20.0,15.0,Chinese,low,No,,,dislike
No,2.0,24,2.0,15.0,Chinese,low,Yes,taste of the food,,dislike
Yes,2.0,21,20.0,15.0,Other,medium,Yes,The amount of food was not enough for the price ,Pho Japolo ,dislike
Yes,3.0,20,10.0,10.0,Fusion,crazy loud,No,"bad food, bad service, bad everything",,dislike
No,3.0,22,10.0,22.0,Chinese,medium,No,,,dislike
No,2.0,29,50.0,30.0,Canadian/American,low,No,Didn't get my happy hour discount.,White Spot,dislike
Yes,5.0,20,10.0,30.0,Other,no music,Yes,Everything we ordered tasted bad some things seemed like it was heated up frozen food,Ongi,dislike
No,2.0,22,30.0,10.0,Canadian/American,crazy loud,No,Server was rude,Schwartz's Deli,dislike
No,7.0,22,6.0,40.0,Chinese,low,No,Food tasted bad,,dislike
Yes,1.0,19,8.0,20.0,Canadian/American,low,No,"Dirty kitchen, milkshakes tasted like soap, steak undercooked",Rocko's Diner,dislike
Yes,2.0,22,50.0,30.0,Chinese,high,No,Servers asked for more tip,,dislike
No,7.0,20,0.0,17.0,Fusion,medium,Yes,"Bad Vibes, bad taste of food",The Eatery,dislike
Yes,1.0,20,10.0,17.0,Canadian/American,low,Yes,Saw mice walking around,Boston Pizza,dislike
Yes,3.0,22,30.0,25.0,Chinese,medium,No,Waitress was extremely rude and smashed the menu in front of us,Neptune Wonton Noodle,dislike
Yes,2.0,22,15.0,15.0,Fusion,low,No,"Really slow service, basically ignored by our waiter. Seemed like the staff was stoned. ",Naam,dislike
No,5.0,20,30.0,23.0,Other,medium,No,The table we were placed at was not quite nice either,Kokoro Ramen,dislike
No,4.0,22,15.0,2.0,Chinese,no music,No,,Chef Hung Taiwanese Beef Noodle,dislike
Yes,1.0,23,8.0,25.0,Chinese,medium,Yes,The food made my sister sick.,,dislike
Yes,2.0,22,0.0,0.0,Other,no music,No,don't remember ,don't remember ,dislike
No,5.0,20,50.0,15.0,Other,medium,No,"The chicken was horrible, and the service was not great either.","As mentioned before, Running Chicken ",dislike
Don't want to share,4.0,20,12.0,13.0,Other,low,No,Food is bad,,dislike
Yes,4.0,22,5.0,15.0,Canadian/American,low,No,Bad ambiance and food,,dislike
Yes,4.0,23,40.0,20.0,Other,medium,Yes,,,dislike
